hayvan	baba	ana	byil	bay	byas	sver305
880777	860020	830403	1991	2	28	4919
880779	840126	830069	1991	6	32	4658
880782	1101	850818	1990	11	25	2508
880792	83	2618	1992	2	40	4391
880794	850319	850537	1991	4	30	3459
880798	83	2287	1991	5	31	4159
880802	397	860637	1991	7	33	4250
880803	360	850953	1991	4	30	3504
880814	860140	860806	1990	11	25	5101
880818	860071	830066	1991	5	31	4938
880820	860020	860916	1991	7	33	3930
880821	1101	830396	1991	3	29	3374
880822	397	2283	1991	4	30	4372
880825	860020	2438	1991	7	33	5002
880826	386	840217	1991	3	29	3802
880830	860026	860911	1990	11	25	4506
880835	1131	820299	1991	2	27	4896
880836	860041	861074	1991	7	32	4894
880842	397	850665	1991	7	32	4026
880844	860054	850824	1991	6	31	4914
880846	860054	860779	1992	3	40	5698
880850	1131	830339	1991	8	33	4847
880853	360	3254	1991	9	34	3040
880854	860026	861237	1991	5	30	2499
880856	83	820328	1991	8	33	4371
880857	83	820328	1992	7	44	4195
880858	860054	860822	1991	7	32	5343
880862	486	1725	1991	4	29	3410
880863	860041	860781	1991	3	28	4704
880865	397	3298	1991	5	30	4352
880873	386	850893	1991	5	30	4462
880875	850319	830051	1991	7	32	4622
880876	1131	840835	1991	4	29	4340
880885	860020	860874	1991	6	31	4341
880887	83	850688	1991	6	31	3240
880888	860061	860544	1991	5	30	4227
880892	1101	830184	1991	6	31	4050
880895	860140	860328	1991	4	29	1999
880898	860140	850873	1991	5	30	4428
880901	1101	840749	1991	4	29	3153
880904	1131	820218	1992	2	39	3838
880906	860054	860464	1991	4	29	3961
880910	860054	850628	1991	5	30	5028
880911	397	850945	1991	2	27	4947
880912	860054	860746	1991	4	29	5105
880916	850319	850525	1991	9	33	4914
880934	860140	850790	1991	5	29	4609
880936	850319	840070	1991	5	29	4510
890002	386	850673	1991	6	29	4664
890004	83	841064	1991	4	27	3524
890006	83	850853	1991	7	30	4180
890008	860071	830056	1991	3	26	4371
890012	860071	860015	1991	3	26	4976
890013	486	820419	1991	4	27	5145
890018	486	840011	1991	5	28	3588
890021	1131	850735	1991	6	29	4104
890032	386	851113	1991	5	28	4218
890038	850319	850077	1991	3	26	4370
890039	360	830385	1991	7	30	4117
890043	83	1664	1991	12	35	3305
890045	860043	870217	1991	5	28	3330
890047	860020	2428	1991	7	30	4838
890049	360	851035	1991	7	30	4897
890050	360	850995	1991	4	27	3595
890054	54	840113	1991	9	32	5715
890060	1101	830445	1991	6	29	5441
890061	397	850882	1991	5	28	3610
890069	83	850849	1991	6	29	4152
890074	126	830469	1991	8	31	4005
890078	860035	870106	1991	5	28	5476
890080	860140	830126	1991	6	29	4706
890081	860020	830215	1991	6	29	3426
890083	860020	840795	1991	6	29	3658
890089	1101	840362	1991	7	29	4528
890091	860140	841022	1991	6	28	3605
890094	486	239	1991	5	27	3646
890099	860026	860678	1991	6	28	3350
890100	860041	870221	1991	6	28	4116
890103	860026	870015	1991	5	27	4720
890107	486	820307	1991	6	28	4841
890110	1131	2954	1991	5	27	3425
890112	386	2401	1991	4	26	5170
890113	486	830476	1991	6	28	4472
890114	397	840232	1991	6	28	3792
890118	860140	850878	1992	2	36	5129
890121	397	840854	1991	8	30	3098
890127	860071	860034	1991	7	29	3823
890137	386	851173	1991	8	30	4692
890140	360	840144	1991	7	29	3345
890141	860026	870024	1991	6	28	4874
890143	840126	840895	1991	4	26	4412
890144	860054	850072	1991	6	28	5141
890145	860043	870237	1991	7	29	4674
890149	386	850903	1991	8	30	4200
890150	860020	860224	1991	6	28	4587
890155	360	851070	1991	6	28	2230
890174	1131	830241	1991	7	28	4973
890182	850319	830166	1991	7	28	3992
890183	397	850206	1991	6	27	5633
890185	850319	1726	1991	6	27	4918
890186	1131	850163	1991	7	28	3793
890188	1101	850701	1991	5	26	3454
890199	860020	860266	1991	9	30	3561
890202	386	840026	1991	8	29	4104
890203	860071	860065	1991	8	29	4445
890210	486	830424	1991	6	27	3550
890216	860026	870214	1991	5	26	5078
890223	860035	870248	1991	8	29	4470
890229	860043	870315	1991	6	27	4178
890230	860041	870138	1991	7	28	4757
890233	860140	860125	1991	7	28	3698
890235	860035	870410	1991	7	28	5094
890236	860026	870135	1991	6	27	4755
890242	860043	870166	1991	6	27	4987
890246	860043	870290	1991	5	26	4986
890248	860026	870077	1991	7	28	4709
890252	1101	840940	1991	8	28	4669
890255	860061	861239	1991	6	26	3942
890256	860035	870268	1991	6	26	4832
890258	860071	851044	1991	6	26	4662
890261	860061	861272	1991	6	26	4221
890262	860041	870265	1991	11	31	6288
890263	1131	841089	1991	6	26	3862
890265	860041	870340	1991	8	28	3412
890278	83	2205	1991	7	27	4098
890279	386	841132	1991	7	27	3676
890280	860035	870485	1991	5	25	4812
890284	860140	850204	1991	8	28	4273
890294	860061	851042	1991	7	27	3502
890297	860041	870277	1991	1	21	5910
890301	1131	830157	1991	5	25	3883
890307	860071	830680	1991	6	26	3585
890319	360	860955	1991	7	27	3895
890323	860026	870534	1991	11	31	3956
890326	386	841099	1991	6	26	2539
890329	860043	870326	1991	6	26	5130
890330	860026	870087	1991	6	26	4748
890332	860035	870258	1991	8	28	3804
890335	860061	860103	1991	5	24	4447
890337	386	870065	1991	6	25	4281
890338	860041	870593	1991	5	24	4967
890347	360	850108	1991	7	26	4434
890355	1101	841162	1991	6	25	3545
890359	860026	870524	1991	2	21	3738
890362	860026	870581	1991	8	27	5170
890376	850319	840423	1991	7	26	4066
890377	860035	870129	1991	6	25	4381
890381	860054	870154	1991	6	25	4553
890385	860026	870637	1991	8	27	4905
890391	860140	870181	1992	6	37	5645
890397	860020	851171	1991	6	25	3585
890425	860041	870464	1991	9	27	5089
890427	860061	870045	1991	8	26	3852
890431	860061	861128	1991	8	26	3843
890437	860026	870343	1991	10	28	4668
890452	3481	850346	1991	8	26	3987
890453	860041	870143	1991	10	28	3024
890455	860026	870476	1991	9	27	4015
890456	36	860143	1991	6	24	4903
890461	83	850013	1991	10	28	5526
890465	3634	860521	1991	9	27	4330
890466	3634	850145	1991	8	26	4680
890468	860035	870400	1992	2	32	4780
890469	860035	870570	1991	11	29	4191
890480	3634	860001	1991	10	28	5756
890486	3634	851147	1991	8	26	4315
890489	36	840567	1991	9	27	4339
890500	860041	870492	1991	12	29	2665
890502	860026	870120	1991	12	29	5010
890507	860026	870591	1991	8	25	6212
890523	860061	861279	1991	8	25	4091
890524	860020	850489	1991	10	27	4152
890525	3481	840194	1991	9	26	4218
890528	3481	820051	1991	9	26	4270
890532	3481	850343	1991	11	28	4138
890543	36	841181	1991	8	25	4065
890547	3481	860327	1991	9	26	3730
890550	3697	860083	1991	10	27	3854
890551	36	851177	1991	9	26	5006
890558	860054	851129	1991	9	26	5025
890563	3634	851083	1991	11	28	4587
890564	3634	851093	1991	12	29	4437
890565	36	830057	1991	10	27	4454
890567	3481	840580	1991	11	28	5956
890570	36	841066	1991	12	29	5507
890580	860043	870675	1991	10	27	4514
890583	860061	851036	1991	9	25	3885
890584	860054	840270	1991	8	24	5330
890594	3634	850575	1991	10	26	5197
890596	3481	1717	1991	9	25	4840
890606	860061	860067	1991	9	25	3900
890616	860054	820351	1991	12	28	4200
890618	3634	861221	1992	1	29	5982
890620	3481	850048	1991	12	28	5578
890627	3697	850031	1991	9	25	5601
890628	3634	830105	1991	12	28	2723
890645	3697	1772	1991	12	28	4649
890647	3697	840363	1991	11	27	3590
890648	3481	830020	1992	2	30	4058
890655	36	830022	1991	12	28	3956
890656	3634	850999	1992	1	29	5396
890657	360	870402	1991	12	28	4225
890663	3438	850813	1991	12	28	3992
890665	3481	850102	1992	2	29	3315
890666	3697	860314	1992	2	29	4786
890668	3697	840460	1992	1	28	4786
890671	36	820414	1992	1	28	5639
890675	3481	830240	1991	12	27	4490
890676	3481	861180	1991	12	27	3797
890682	3697	850236	1992	9	36	4305
890683	860043	870522	1991	12	27	4772
890684	860043	870715	1992	1	28	5900
890689	3634	2291	1991	12	27	5249
890691	36	820234	1992	1	28	4485
890698	3634	830010	1992	1	28	4782
890700	3481	840573	1991	11	26	5345
890702	3438	2403	1991	11	26	6226
890705	3481	1731	1992	1	28	5130
890706	3481	850524	1992	2	29	5142
890711	860035	870543	1992	1	28	6282
890713	3634	840104	1991	12	27	5740
890719	860061	840265	1992	7	34	4388
890721	860041	870544	1992	3	30	4830
890722	36	851083	1991	12	27	4020
890724	860054	840541	1992	3	30	3658
890726	360	870658	1991	12	27	4680
890737	860081	850137	1991	12	27	5717
890740	860020	861291	1992	4	31	5375
890745	860020	820205	1992	1	28	2682
890748	860081	3129	1992	4	30	4055
890750	860061	850449	1991	12	26	3330
890752	860020	850864	1992	1	27	4695
890755	860061	820123	1992	3	29	4207
890757	860061	820214	1992	5	31	4858
890758	860026	870403	1991	12	26	4630
890760	860061	860780	1992	1	27	5566
890764	860081	850403	1992	1	27	2982
890770	860054	820188	1991	12	26	3945
890771	860054	861237	1991	12	26	6040
890772	860020	3331	1992	3	29	5547
890779	83	820382	1991	12	26	4989
890783	860054	2287	1992	1	27	4786
890785	860061	860962	1992	2	28	4748
890787	860026	870768	1991	12	26	4191
890788	850208	850774	1992	3	29	4892
890789	4020	861065	1991	12	26	4852
890792	4020	850628	1992	1	27	3966
890793	4020	820278	1992	1	27	4989
890810	860078	2283	1992	3	29	4942
890811	850201	841126	1992	1	27	4288
890812	3841	860818	1992	2	28	3993
890814	860078	860919	1992	3	29	5658
890816	850208	2036	1992	1	27	3552
890818	850201	850818	1992	1	27	3264
890819	860078	850688	1991	12	26	4329
890823	397	870265	1992	5	31	3800
890827	4020	830072	1992	8	34	5137
890828	4020	870042	1992	3	29	5498
890830	4050	830318	1992	4	30	4677
890833	3841	820172	1992	2	27	5036
890837	4152	860701	1992	4	29	5426
890843	860043	870810	1992	7	32	5224
890849	4152	830272	1992	3	28	5106
890857	4050	841062	1992	5	30	4766
890860	860054	861231	1992	3	28	5703
890867	850201	870008	1992	2	27	5927
890875	4096	840017	1992	4	29	5358
890879	4050	861067	1992	6	31	4408
890883	860043	870721	1992	4	29	5296
890884	4152	820434	1992	4	29	3204
890886	850208	614	1992	5	30	5300
890892	4152	850707	1992	4	29	5286
890898	860041	870792	1992	2	27	6437
890900	850201	851007	1992	10	35	3885
890909	4020	841152	1992	4	29	4695
890914	4020	850873	1992	2	26	4593
890921	4152	820303	1992	3	27	5417
890930	4050	840846	1992	5	29	3906
890932	860043	870750	1992	3	27	4419
890935	860078	830211	1992	5	29	4492
890937	860035	870813	1992	2	26	5499
890938	860026	870928	1992	5	29	4690
890939	860078	830348	1992	4	28	4860
890944	850208	870227	1992	2	26	4827
890955	4020	850849	1992	3	27	5562
890958	850201	830374	1992	4	28	5850
900015	860026	870858	1992	5	28	6054
900018	860043	870718	1992	7	30	5095
900023	860035	870871	1992	2	25	5130
900028	860026	870965	1992	4	27	4692
900030	860078	830390	1992	5	28	5189
900031	860026	880016	1992	6	29	5034
900033	4050	870015	1992	7	30	3720
900038	860061	820236	1992	5	28	5112
900043	860043	880032	1992	4	27	4758
900046	860054	840749	1992	4	27	4840
900047	860026	870880	1992	4	27	5025
900050	860043	870796	1992	5	28	4875
900051	860041	870863	1992	6	29	4713
900053	860026	870584	1992	4	27	4658
900056	860054	820367	1992	2	25	5256
900062	860054	3070	1992	7	30	3930
900065	860043	870740	1992	5	28	3980
900069	860026	870894	1992	6	29	4187
900070	860026	880104	1992	4	27	5940
900071	860041	870873	1992	5	28	4364
900073	860041	870790	1992	5	28	5566
900079	860026	870663	1992	10	33	5120
900081	860054	830422	1992	7	30	3944
900084	860041	870930	1992	4	26	5029
900089	850201	860746	1992	4	26	4282
900091	860041	880023	1992	4	26	4435
900095	3841	860339	1992	4	26	5571
900096	860026	870910	1992	5	27	5922
900098	850201	860968	1992	2	24	2090
900100	860078	840864	1992	6	28	4537
900105	850208	851068	1992	4	26	4911
900107	860043	870857	1992	5	27	5286
900112	860061	861238	1992	4	26	4743
900114	4152	850072	1992	4	26	3916
900119	860054	870106	1992	4	26	3285
900122	4152	870146	1992	8	30	3999
900126	3841	850947	1992	5	27	3819
900127	860041	870784	1992	4	26	4015
900130	4096	851173	1992	5	27	4251
900134	860035	880049	1992	4	26	5886
900136	860043	870877	1992	5	27	5191
900139	4050	860065	1992	10	32	2093
